Local_Body_Type,Local_Body_Name,District_Name,username,password,full_name,mobile
PANCHAYAT,Alappuzha,Alappuzha,health_user1,Health@1231,Health User 1,9295617186
PANCHAYAT,Ambalappuzha,Alappuzha,health_user2,Health@1232,Health User 2,9927674260
PANCHAYAT,Aryad,Alappuzha,health_user3,Health@1233,Health User 3,9319222876
PANCHAYAT,Bharanicavu,Alappuzha,health_user4,Health@1234,Health User 4,9695055959
PANCHAYAT,Champakulam,Alappuzha,health_user5,Health@1235,Health User 5,9250562688
PANCHAYAT,Chengannur,Alappuzha,health_user6,Health@1236,Health User 6,9411818025
PANCHAYAT,Harippad,Alappuzha,health_user7,Health@1237,Health User 7,9893660549
PANCHAYAT,Kanjikkuzhy,Alappuzha,health_user8,Health@1238,Health User 8,9328748327
PANCHAYAT,Mavelikkara,Alappuzha,health_user9,Health@1239,Health User 9,9565529461
PANCHAYAT,Muthukulam,Alappuzha,health_user10,Health@12310,Health User 10,9237697940
PANCHAYAT,Pattanakkad,Alappuzha,health_user11,Health@12311,Health User 11,9710530538
PANCHAYAT,Thycattussery,Alappuzha,health_user12,Health@12312,Health User 12,9754521643
PANCHAYAT,Veliyanad,Alappuzha,health_user13,Health@12313,Health User 13,9968929863
PANCHAYAT,Ala,Alappuzha,health_user14,Health@12314,Health User 14,9274786953
PANCHAYAT,Ambalappuzha ( North ),Alappuzha,health_user15,Health@12315,Health User 15,9110831778
PANCHAYAT,Ambalappuzha(South),Alappuzha,health_user16,Health@12316,Health User 16,9893150492
PANCHAYAT,Arattupuzha,Alappuzha,health_user17,Health@12317,Health User 17,9166906895
PANCHAYAT,Arookutty,Alappuzha,health_user18,Health@12318,Health User 18,9188925467
PANCHAYAT,Aroor,Alappuzha,health_user19,Health@12319,Health User 19,9584037847
PANCHAYAT,Aryad,Alappuzha,health_user20,Health@12320,Health User 20,9577405548
PANCHAYAT,Bharanikkavu,Alappuzha,health_user21,Health@12321,Health User 21,9338930315
PANCHAYAT,Budhannoor,Alappuzha,health_user22,Health@12322,Health User 22,9542526666
PANCHAYAT,Champakkulam,Alappuzha,health_user23,Health@12323,Health User 23,9384204938
PANCHAYAT,Chennampalippuram,Alappuzha,health_user24,Health@12324,Health User 24,9591967187
PANCHAYAT,Chennithala Thriperumthara,Alappuzha,health_user25,Health@12325,Health User 25,9217927790
